estate,debts,husband,wife,father,mother,sons,daughters,sisters_m,grandfather,grandmother,grandsons,granddaughters,share_husband,share_wife,share_mother,share_sons,share_fathers,share_grandsons,share_brother_ms,row_sum_shares
122371,33237,0,0,0,0,1,1,0,1,0,0,0,22283.5,11141.75,14855.666666666666,20426.541666666664,20426.541666666664,2940.0138888888887,3428.0277777777774,95502.04166666667
71358,17118,0,1,0,1,1,0,0,1,1,2,0,13560.0,6780.0,9040.0,12430.0,12430.0,2940.0138888888887,3428.0277777777774,60608.04166666667
138941,30304,1,0,0,1,1,2,0,0,1,2,2,27159.25,13579.625,18106.166666666664,24895.979166666664,24895.979166666664,2940.0138888888887,3428.0277777777774,115005.04166666667
70156,16442,0,1,0,1,1,3,1,1,0,2,0,13428.5,6714.25,8952.333333333332,12309.458333333332,12309.458333333332,2940.0138888888887,3428.0277777777774,60082.04166666667
58073,11230,1,0,0,0,0,0,2,1,0,1,2,23421.5,11710.75,7807.166666666666,23366.749999999996,1301.1944444444443,1301.1944444444443,1301.1944444444443,70209.74999999997
198902,10163,1,0,0,0,1,1,1,0,0,0,1,47184.75,23592.375,31456.5,43252.6875,43252.6875,2940.0138888888887,3428.0277777777774,195107.04166666666
181133,40386,1,0,0,0,1,4,0,1,1,1,1,35186.75,17593.375,23457.83333333333,32254.52083333333,32254.52083333333,2940.0138888888887,3428.0277777777774,147115.04166666666
133671,14200,1,0,0,1,1,4,0,0,1,0,2,29867.75,14933.875,19911.83333333333,27378.77083333333,27378.77083333333,2940.0138888888887,3428.0277777777774,125839.04166666666
98618,8278,0,1,0,1,1,2,1,1,1,0,0,22585.0,11292.5,15056.666666666666,20702.916666666664,20702.916666666664,2940.0138888888887,3428.0277777777774,96708.04166666667
89248,17431,1,0,0,0,1,3,3,0,1,0,1,17954.25,8977.125,11969.5,16458.0625,16458.0625,2940.0138888888887,3428.0277777777774,78185.04166666667
175206,14062,1,0,0,1,1,4,0,0,1,2,0,40286.0,20143.0,26857.33333333333,36928.83333333333,36928.83333333333,2940.0138888888887,3428.0277777777774,167512.04166666666
59886,14647,1,0,0,1,0,0,1,1,1,0,0,22619.5,11309.75,7539.833333333333,23366.749999999996,1884.9583333333333,2940.0138888888887,1884.9583333333333,71545.76388888888
80915,15749,0,1,0,0,0,0,2,1,1,0,1,32583.0,16291.5,10861.0,23366.749999999996,2715.25,2940.0138888888887,2715.25,91472.76388888889
156399,39941,0,1,0,1,1,4,1,0,0,2,2,29114.5,14557.25,19409.666666666664,26688.291666666664,26688.291666666664,2940.0138888888887,3428.0277777777774,122826.04166666667
131281,35319,0,1,0,0,1,4,2,1,1,2,1,23990.5,11995.25,15993.666666666666,21991.291666666664,21991.291666666664,2940.0138888888887,3428.0277777777774,102330.04166666667
86317,8893,0,0,0,0,1,0,0,1,0,0,1,19356.0,9678.0,12904.0,17743.0,17743.0,2940.0138888888887,3428.0277777777774,83792.04166666667
69085,17892,0,1,0,0,1,2,0,1,0,1,0,12798.25,6399.125,8532.166666666666,11731.729166666666,11731.729166666666,2940.0138888888887,3428.0277777777774,57561.04166666666
174682,37891,0,1,0,1,1,2,0,1,0,1,1,34197.75,17098.875,22798.5,31347.9375,31347.9375,2940.0138888888887,3428.0277777777774,143159.04166666666
155432,36612,0,1,0,0,1,2,2,1,0,2,0,29705.0,14852.5,19803.33333333333,27229.58333333333,27229.58333333333,2940.0138888888887,3428.0277777777774,125188.04166666666
89898,11284,0,0,0,1,1,4,1,0,0,0,2,19653.5,9826.75,13102.333333333332,18015.70833333333,18015.70833333333,2940.0138888888887,3428.0277777777774,84982.04166666666
